Shipment_ID,Transport,Department,Pickup_time,Pickup_date,Delivery_time,Delivery_date,Collection_Name,Collection_City,Collection_Address,Collection_Postal_Code,Delivery_Name,Delivery_City,Delivery_Address,Delivery_Postal_Code,Weight,Volume,Ldm,Content,Units,Unit_type,Hazardous,Cost
NAESJ-DS558,,TEST1,23:59-23:59,2026-01-15,03:30-23:59,2026-01-16,BRING E-COMMERCE & LOGISTICS A/S,GREVE,VENSTRUPPARKEN 4,2670.0,BRING E-COMMERCE & LOGISTICS A/S -,FREDERICIA,KONGENS KVARTER 14,7000.0,24000.0,0.0,13.6,PAKKER,1,LOAD,False,2300.0
NAESJ-DS727,,TEST1,18:00-23:59,2026-01-19,21:30-23:59,2026-01-19,BRING E-COMMERCE & LOGISTICS A/S,GREVE,VENSTRUPPARKEN 4,2670.0,BRING E-COMMERCE & LOGISTICS A/S -,FREDERICIA,KONGENS KVARTER 14,7000.0,24000.0,0.0,13.6,PAKKER,1,LOAD,False,2300.0
NAESJ-DS907,,TEST1,23:00-23:59,2026-01-13,02:30-23:59,2026-01-14,BRING E-COMMERCE & LOGISTICS A/S -,FREDERICIA,KONGENS KVARTER 14,7000.0,BRING E-COMMERCE & LOGISTICS A/S,GREVE,VENSTRUPPARKEN 4,2670.0,24000.0,0.0,13.6,PAKKER,1,LOAD,False,7000.0
NAESJ-DS500,,TEST1,22:00-23:59,2026-01-15,01:30-23:59,2026-01-16,BRING E-COMMERCE & LOGISTICS A/S -,FREDERICIA,KONGENS KVARTER 14,7000.0,BRING E-COMMERCE & LOGISTICS A/S,GREVE,VENSTRUPPARKEN 4,2670.0,24000.0,0.0,13.6,PAKKER,1,LOAD,False,7000.0
NAESJ-DS186,,TEST1,18:00-23:59,2026-01-18,21:30-23:59,2026-01-18,BRING E-COMMERCE & LOGISTICS A/S,GREVE,VENSTRUPPARKEN 4,2670.0,BRING E-COMMERCE & LOGISTICS A/S -,FREDERICIA,KONGENS KVARTER 14,7000.0,24000.0,0.0,13.6,PAKKER,1,LOAD,False,2300.0
NAESJ-DS270,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,MARIAGER SALT SPECIALTIES A/S,MARIAGER,HADSUNDVEJ 17 DK-9550 MARIAGER,9550.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,8448.0,0.0,4.4,UNSPECIFIED GOODS,11,PLL,False,5800.0
NAESJ-DS676,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,GS HARBOES BRYGGERI A/S,SKÆLSKØR,LADEBOVEJ 1 DK-4230 SKÆLSKØR,4230.0,AALBORG TØRVARECENTER,AALBORG,"HOBROVEJ 461, SKALBORG DK-9200 AALBORG SV",9200.0,23635.0,42.852,12.8,HARBOE HINDBÆRBRUS N,32,PLL,False,3100.0
NAESJ-DS496,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,GS HARBOES BRYGGERI A/S,SKÆLSKØR,LADEBOVEJ 1 DK-4230 SKÆLSKØR,4230.0,AALBORG TØRVARECENTER,AALBORG,"HOBROVEJ 461, SKALBORG DK-9200 AALBORG SV",9200.0,23454.0,44.199,12.8,1/4 PL HB APOLLINARI,32,PLL,False,3100.0
NAESJ-DS634,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,GS HARBOES BRYGGERI A/S,SKÆLSKØR,LADEBOVEJ 1 DK-4230 SKÆLSKØR,4230.0,COOP NON FOOD CENTER,ODENSE S,HESTEHAVEN 51,5260.0,25773.0,47.385,12.8,HARBOE APOLLINARIS C,32,PLL,False,1800.0
NAESJ-DS755,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,GS L'ORÉAL DANMARK A/S,GREVE,GREVE MAIN 21 DK-2670 GREVE,2670.0,COOP NON FOOD CENTER,ODENSE S,HESTEHAVEN 51,5260.0,5583.0,11.977,4.8,STUDIO LINE FIBER PA,27,PLL,False,1100.0
NAESJ-DS604,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,GS HARBOES BRYGGERI A/S,SKÆLSKØR,LADEBOVEJ 1 DK-4230 SKÆLSKØR,4230.0,AALBORG TØRVARECENTER,AALBORG,"HOBROVEJ 461, SKALBORG DK-9200 AALBORG SV",9200.0,24128.0,43.636,12.4,HARBOE TOPFORM NUL S,31,PLL,False,3100.0
NAESJ-DS461,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,GS HARBOES BRYGGERI A/S,SKÆLSKØR,LADEBOVEJ 1 DK-4230 SKÆLSKØR,4230.0,COOP NON FOOD CENTER,ODENSE S,HESTEHAVEN 51,5260.0,21660.0,41.179,12.8,1/4 PL HARBOE APOLLI,32,PLL,False,1800.0
NAESJ-DS531,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,GS HARBOES BRYGGERI A/S,SKÆLSKØR,LADEBOVEJ 1 DK-4230 SKÆLSKØR,4230.0,AALBORG TØRVARECENTER,AALBORG,"HOBROVEJ 461, SKALBORG DK-9200 AALBORG SV",9200.0,22973.0,43.368,12.8,1/4 PL HB TOPFORM NU,32,PLL,False,3100.0
NAESJ-DS117,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,HAUGEN-GRUPPEN DENMARK A/S,GREVE,KILDEBRØNDEVEJ 44F DK-2670 GREVE,2670.0,AALBORG TØRVARECENTER,AALBORG,"HOBROVEJ 461, SKALBORG DK-9200 AALBORG SV",9200.0,2475.0,4.172,1.6,KIKKOMAN LESS SALT S,6,PLL,False,1400.0
NAESJ-DS338,,TEST1,23:59-23:59,2026-01-12,23:59-23:59,2026-01-13,GS DSV ROAD SUB WAREHOUSE,HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,ALBERTSLUND TØRVARECENTER,ALBERTSLUND,ROSKILDEVEJ 45 DK-2620 ALBERTSLUND,2620.0,5105.0,7.392,2.8,1/4 PL ØKO COOP HVED,7,PLL,False,4500.0
NAESJ-DS101,,TEST1,23:59-23:59,2026-01-12,23:59-23:59,2026-01-13,GS MIDSONA (SYSTEMFRUGT),TILST,BLOMSTERVEJ 8 DK-8381 TILST,8381.0,ALBERTSLUND TØRVARECENTER,ALBERTSLUND,ROSKILDEVEJ 45 DK-2620 ALBERTSLUND,2620.0,4152.0,22.032,6.8,1/4 PL MIX FAMILY EA,17,PLL,False,6300.0
NAESJ-DS527,,TEST1,23:59-23:59,2026-01-12,23:59-23:59,2026-01-13,NOPA NORDIC A/S,HOBRO,HAVREVÆNGET 13 DK-9500 HOBRO,9500.0,ALBERTSLUND TØRVARECENTER,ALBERTSLUND,ROSKILDEVEJ 45 DK-2620 ALBERTSLUND,2620.0,2982.0,5.26,2.8,365 MINIRISK FLYDEND,7,PLL,False,4900.0
NAESJ-DS693,,TEST1,05:00-23:59,2026-01-06,12:00-12:00,2026-01-06,IKEA A/S,AARHUS,GRAHAM BELLS VEJ 7,8200.0,CDC COPENHAGEN,HEDEHUSENE,HEDELANDSVEJ 28C DK-2640 HEDEHUSENE,2640.0,28000.0,90.0,0.0,IKEA FURNITURE,1,LOAD,False,2900.0
NAESJ-DS803,,TEST1,08:00-15:00,2026-01-19,00:01-23:59,2026-01-20,SNEDKERMESTER P.SVENSSON,SLANGERUP,INDUSTRIVEJ 9 DK-3550 SLANGERUP,3550.0,LAMMHULTS BIBLIOTEKSDESIGN A/S,HOLSTED,DALBAEKVEJ 1,6670.0,720.0,5.184,2.4,MØBLER,6,PLL,False,1100.0
NAESJ-DS309,,TEST1,23:59-23:59,2026-01-05,23:59-23:59,2026-01-06,HAUGEN-GRUPPEN DENMARK A/S,GREVE,KILDEBRØNDEVEJ 44F DK-2670 GREVE,2670.0,COOP NON FOOD CENTER,ODENSE S,HESTEHAVEN 51,5260.0,6981.0,14.941,5.2,NISSIN CUP NOODLES H,19,PLL,False,1200.0
NAESJ-DS139,,TEST1,10:00-23:59,2026-01-13,12:00-12:00,2026-01-13,IKEA ODENSE,ODENSE SØ,ØRBÆKVEJ 91,5220.0,CDC COPENHAGEN,HEDEHUSENE,HEDELANDSVEJ 28C DK-2640 HEDEHUSENE,2640.0,28000.0,90.0,0.0,IKEA FURNITURE,1,LOAD,False,1800.0
NAESJ-DS646,,TEST1,00:01-00:01,2026-01-19,07:00-11:30,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,METTE MUNK A/S,ODENSE C,GØTEBORGGADE 3-5 DK-5000 ODENSE C,5000.0,7280.0,0.0,12.0,491179,25,PLL,False,1700.0
NAESJ-DS844,,TEST1,00:01-00:01,2026-01-19,08:00-13:00,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,SMURFIT WESTROCK SYSTEMKASSEN,KOLDING,PORT 66 ELLER 67 ANDREAS SCHOUS VEJ 76,6000.0,903.0,0.0,2.0,S455,5,PLL,False,900.0
NAESJ-DS710,,TEST1,00:01-00:01,2026-01-19,07:00-15:00,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,ODENSE MARCIPAN A/S,ODENSE C,TOLDBODGADE 17 DK-5000 ODENSE C,5000.0,640.0,0.0,1.6,110507,4,PLL,False,800.0
NAESJ-DS416,,TEST1,00:01-00:01,2026-01-19,07:00-13:30,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,LEMVIGH-MÜLLER A/S,KOLDING,PORT 16 NORDAGER 1,6000.0,6194.0,0.0,11.2,5704310056,56,PLL,False,2000.0
NAESJ-DS080,,TEST1,00:01-00:01,2026-01-19,07:00-14:30,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,NOPA NORDIC A/S,HOBRO,"HAVREVÆNGET 9, PORT 19-23 DK-9500 HOBRO",9500.0,5043.0,0.0,6.8,EY1593,17,PLL,False,2400.0
NAESJ-DS046,,TEST1,00:01-00:01,2026-01-20,07:00-14:00,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,NOPA NORDIC A/S,HOBRO,"HAVREVÆNGET 11, PORT 1 DK-9500 HOBRO",9500.0,1122.0,0.0,1.5,EY1498,6,PLL,False,1400.0
NAESJ-DS432,,TEST1,00:01-00:01,2026-01-19,08:00-14:00,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,EASYFOOD A/S,KOLDING,ALBUEN 39 DK-6000 KOLDING,6000.0,2662.0,0.0,7.2,8248,18,PLL,False,1500.0
NAESJ-DS297,,TEST1,00:01-00:01,2026-01-19,07:00-11:00,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,DAFA A/S,BRABRAND,HOLMSTRUPGÅRDVEJ 12 DK-8220 BRABRAND,8220.0,799.0,0.0,2.4,620014715,6,PLL,False,1300.0
NAESJ-DS663,,TEST1,00:01-00:01,2026-01-19,07:00-11:30,2026-01-20,SMURFIT KAPPA DANMARK A/S,HERFØLGE,ISLANDSVEJ 2,4681.0,METTE MUNK A/S,ODENSE C,GØTEBORGGADE 3-5 DK-5000 ODENSE C,5000.0,7400.0,0.0,12.0,491179,25,PLL,False,1700.0
NAESJ-DS991,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,THE WHOLE COMPANY FOOD A/S,VADUM,CHARLES LINDBERGHSVEJ 15 DK-9430 VADUM,9430.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,2137.0,0.0,4.0,UNSPECIFIED GOODS,10,PLL,False,5500.0
NAESJ-DS959,,TEST1,23:59-23:59,2026-01-06,23:59-23:59,2026-01-12,PETER LARSEN KAFFE A/S,VIBORG,ÆRØVEJ 15-17 DK-8800 VIBORG,8800.0,ALBERTSLUND TØRVARECENTER,ALBERTSLUND,ROSKILDEVEJ 45 DK-2620 ALBERTSLUND,2620.0,3382.0,13.68,4.0,1/4 PL RØD PETER LAR,10,PLL,False,5100.0
NAESJ-DS223,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GEIA FOOD,HORSENS,C/O DSV SUB WHS - PORT 418-420 MOSSVEJ 27,8700.0,BRØNDBY FERSKVARECENTER,BRØNDBY,VALLENSBÆK TORVEVEJ 7-9,2605.0,14832.0,30.504,9.6,Food and Beverage,24,EUR,False,7900.0
NAESJ-DS607,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GEIA FOOD,HORSENS,C/O DSV SUB WHS - PORT 418-420 MOSSVEJ 27,8700.0,NETTO DISTR. CENTER KØGE,KØGE,MIMERSVEJ 1,4600.0,2181.0,21.321,4.4,Food and Beverage,27,EUR,False,5300.0
NAESJ-DS610,,TEST1,12:00-23:59,2026-01-17,13:00-13:00,2026-01-17,IKEA ODENSE,ODENSE SØ,ØRBÆKVEJ 91,5220.0,DMP LINEHAUL 172,HEDEHUSENE,HEDELANDSVEJ 28C DK-2640 HEDEHUSENE,2640.0,28000.0,90.0,0.0,IKEA FURNITURE,1,LOAD,False,1800.0
NAESJ-DS102,,TEST1,12:00-23:59,2026-01-19,13:00-13:00,2026-01-19,IKEA ODENSE,ODENSE SØ,ØRBÆKVEJ 91,5220.0,DMP LINEHAUL 172,HEDEHUSENEDK,HEDELANDSVEJ 28C DK 2640  HEDEHUSENEDK,2640.0,28000.0,90.0,0.0,IKEA FURNITURE,1,LOAD,False,1800.0
NAESJ-DS951,,TEST1,12:00-23:59,2026-01-20,13:00-13:00,2026-01-20,IKEA ODENSE,ODENSE SØ,ØRBÆKVEJ 91,5220.0,DMP LINEHAUL 172,HEDEHUSENEDK,HEDELANDSVEJ 28C DK 2640  HEDEHUSENEDK,2640.0,28000.0,90.0,0.0,IKEA FURNITURE,1,LOAD,False,1800.0
NAESJ-DS836,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,RYNKEBY FOODS A/S,RINGE,VESTERGADE 30 DK-5750 RINGE,5750.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,14633.0,0.0,7.2,UNSPECIFIED GOODS,70,QPL,False,4500.0
NAESJ-DS963,,TEST1,00:01-23:59,2026-01-05,00:01-23:59,2026-01-06,L'OREAL GREVE,GREVE,GREVE MAIN 21 DK-2670 GREVE,2670.0,NORMAL WH HEDENSTED,HEDENSTED,KILDEPARKEN 36 DK-8722 HEDENSTED,8722.0,24689.0,74.88,0.0,COSMETICS,52,IPL,False,1000.0
NAESJ-DS782,,TEST1,00:01-23:59,2026-01-05,00:01-23:59,2026-01-06,L'OREAL GREVE,GREVE,GREVE MAIN 21 DK-2670 GREVE,2670.0,NORMAL CENTRAL WAREHOUSE,HORSENS,"EGESKOVVEJ 15, PORT 28 DK-8700 HORSENS",8700.0,25093.0,72.0,0.0,COSMETICS,50,IPL,False,1000.0
NAESJ-DS253,,TEST1,00:01-23:59,2026-01-05,00:01-23:59,2026-01-06,HAUGEN-GRUPPEN DENMARK A/S,GREVE,KILDEBRØNDEVEJ 44 F DK-2670 GREVE,2670.0,REITAN DISTRIBUTION A/S,HORSENS,MARSALLE 32 DK-8700 HORSENS,8700.0,13349.0,0.0,5.6,EUROPALL,14,PLL,False,2000.0
NAESJ-DS141,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,GS/SCANDIC FOOD - AFH. TAARS/SCAND,TÅRS,INDUSTRIVEJ 3 DK-9830 TÅRS,9830.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,646.0,0.0,0.4,UNSPECIFIED GOODS,1,PLL,False,3600.0
NAESJ-DS277,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,GS/SCANDIC FOOD - AFH. TAARS/SCAND,TÅRS,INDUSTRIVEJ 3 DK-9830 TÅRS,9830.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,8567.0,0.0,5.6,UNSPECIFIED GOODS,14,PLL,False,6600.0
NAESJ-DS337,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,"GS/LMC DK C/O, DSV ROAD SUB WAREHO",HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,14520.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,8700.0
NAESJ-DS886,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,"GS/LMC DK C/O, DSV ROAD SUB WAREHO",HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,15080.0,0.0,13.2,UNSPECIFIED GOODS,108,CLL,False,8700.0
NAESJ-DS964,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,"GS/LMC DK C/O, DSV ROAD SUB WAREHO",HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,16827.0,0.0,13.2,UNSPECIFIED GOODS,33,PLL,False,8700.0
NAESJ-DS149,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,"GS/LMC DK C/O, DSV ROAD SUB WAREHO",HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,15149.0,0.0,13.2,UNSPECIFIED GOODS,105,CLL,False,8700.0
NAESJ-DS613,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,"GS/LMC DK C/O, DSV ROAD SUB WAREHO",HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,14520.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,8700.0
NAESJ-DS954,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,GS/NOPA NORDIC A/S/NOPA NORDIC A/S,HOBRO,HAVREVÆNGET 11 DK-9500 HOBRO,9500.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,12072.0,0.0,7.6,UNSPECIFIED GOODS,19,PLL,False,7500.0
NAESJ-DS060,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,IDEMØBLER GLOSTRUP,BRØNDBY,SDR. RINGVEJ 35 C,2605.0,0.0,0.0,4.3,MØBLER,0,PLL,False,4300.0
NAESJ-DS154,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,IDEMØBLER KØGE,KØGE,GAMMEL LYNGVEJ 25,4600.0,0.0,0.0,1.6,MØBLER,0,PLL,False,3100.0
NAESJ-DS518,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,IDEMØBLER HILLERØD,HILLERØD,SIGRUNSVEJ 18,3400.0,0.0,0.0,1.9,MØBLER,0,PLL,False,3300.0
NAESJ-DS184,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,IDEMØBLER HOLBÆK,HOLBÆK,STENHUSVEJ 50,4300.0,0.0,0.0,2.9,MØBLER,0,PLL,False,3700.0
NAESJ-DS588,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,IDEMØBLER HELSINGØR,HELSINGØR,KLOSTERMOSEVEJ 123,3000.0,0.0,0.0,1.9,MØBLER,0,PLL,False,3300.0
NAESJ-DS707,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,IDEMØBLER ROSKILDE,ROSKILDE,KØBENHAVNSVEJ 125,4000.0,0.0,0.0,2.4,MØBLER,0,PLL,False,3500.0
NAESJ-DS140,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,IDEMØBLER SLAGELSE,SLAGELSE,JAPANVEJ 4,4200.0,0.0,0.0,2.3,MØBLER,0,PLL,False,3400.0
NAESJ-DS849,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,ILVA NAESTVED,NÆSTVED,VESTERGÅRDSVEJ 40 VESTERGÅRDSVEJ 40,4700.0,0.0,0.0,5.2,MØBLER,0,PLL,False,4600.0
NAESJ-DS924,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,ILVA ISHØJ,ISHØJ,INDUSTRIDALEN 11 HUB ISHØJ,2635.0,0.0,0.0,8.9,MØBLER,0,PLL,False,6200.0
NAESJ-DS492,,TEST1,07:00-13:00,2026-01-05,00:01-23:59,2026-01-06,"ILVA, VEJLE LOGISTIKCENTER",VEJLE,SADELMAGERVEJ 2,7100.0,ILVA NYKØBING FALSTER,NYKØBING FALSTER,GULBORGCENTERET 26 TÅDERUP,4800.0,0.0,0.0,1.8,MØBLER,0,PLL,False,3200.0
NAESJ-DS505,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,JAN IMPORT A/S,HADSTEN,OVER HADSTENVEJ 82 DK-8370 HADSTEN,8370.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,5783.0,0.0,8.4,UNSPECIFIED GOODS,21,PLL,False,7000.0
NAESJ-DS528,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-13,C & D FOODS (DENMARK) A/S,ESBJERG N,ØRESUNDSVEJ 2 DK-6715 ESBJERG N,6715.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,6313.0,0.0,5.6,UNSPECIFIED GOODS,14,PLL,False,4500.0
NAESJ-DS175,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-13,GS/INSULA DANMARK A/S/AMANDA SEAFO,FREDERIKSHAVN,"HOBROGADE, PORT 10 DK-9900 FREDERIKSHAVN",9900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,3993.0,0.0,2.4,UNSPECIFIED GOODS,6,PLL,False,4800.0
NAESJ-DS107,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,VALSEMØLLEN AF 1899 A/S,ESBJERG,HAVNEGADE 58 DK-6700 ESBJERG,6700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,1577.0,0.0,1.2,UNSPECIFIED GOODS,3,PLL,False,2800.0
NAESJ-DS691,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,JAN IMPORT A/S,HADSTEN,OVER HADSTENVEJ 82 DK-8370 HADSTEN,8370.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,1118.0,0.0,2.0,UNSPECIFIED GOODS,5,PLL,False,3900.0
NAESJ-DS628,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/BS-IMPORT APS/GS BS-IMPORT APS,THISTED,HÅNDVÆRKERVEJ 5 DK-7700 THISTED,7700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,20778.0,0.0,9.2,UNSPECIFIED GOODS,22,PLL,False,6800.0
NAESJ-DS016,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,JAN IMPORT A/S,HADSTEN,OVER HADSTENVEJ 82 DK-8370 HADSTEN,8370.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,3469.0,0.0,3.2,UNSPECIFIED GOODS,8,PLL,False,4500.0
NAESJ-DS124,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,VPG WILD BIRD A/S,HASSELAGER,BIRKEGAARDSVEJ 3 DK-8361 HASSELAGER,8361.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,13684.0,0.0,13.2,UNSPECIFIED GOODS,66,HLP,False,8400.0
NAESJ-DT033,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-08,GS/NORDIC FOOD PARTNERS A/S/NORDIC,SKIVE,BJØRNEVEJ 8 DK-7800 SKIVE,7800.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,3629.0,0.0,2.4,UNSPECIFIED GOODS,6,PLL,False,3800.0
NAESJ-DT380,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/ZELECTED FOODS APS/ZELECTED FOO,GISLEV,"HÅNDVÆRKERVEJ, PORT 4 9 DK-5854 GISLEV",5854.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,300.0,0.0,0.4,UNSPECIFIED GOODS,2,QPL,False,2200.0
NAESJ-DT231,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,JAKOBSENS A/S,AULUM,BUNTMAGERVEJ 20 DK-7490 AULUM,7490.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,492.0,0.0,0.8,UNSPECIFIED GOODS,6,QPL,False,3000.0
NAESJ-DT817,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-09,STATE DRINKS,HORSENS,C/O DSV SUB WHS - PORT 417-420 MOSSVEJ 27,8700.0,NETTO DC KØGE,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,28069.0,0.0,13.6,VARER,37,EUR,False,8700.0
NAESJ-DT963,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,BRYGGERIET VESTFYEN A/S,ASSENS,SKOVVEJ 7 RING PÅ TLF. 25549580 VED ANKOMST,5610.0,DAGROFA LOGISTIK,RINGSTED,KÆRUP PARKVEJ 7 HUSK BYTTEPALLER,4100.0,4000.0,0.0,3.2,ØL / SODAVAND,8,PLL,False,3000.0
NAESJ-DT427,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/LMC DK C/O/LANTMÄNNEN CEREALIA,HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,14520.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,8700.0
NAESJ-DT188,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,GS/VALSEMØLLEN AF 1899 A/S/VALSEMØ,GØRDING,ÅLUNDEN 2 DK-6690 GØRDING,6690.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,6748.0,0.0,2.8,UNSPECIFIED GOODS,7,PLL,False,3400.0
NAESJ-DT897,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-13,GS/DSV HORSENS/GEIA FOOD A/S,HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,24106.0,0.0,13.2,UNSPECIFIED GOODS,33,PLL,False,8700.0
